| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| وریا | ناڤێ مرۆڤان | کەسێ هشیار، زیرەک و ئاگەهدار. |
| وەلات | ناڤێ مرۆڤان | ئەو پارچە ئەردێ کو نەتەوەیەک لێ دژیت و خودان دەستهەلاتە. |
| یاد | ناڤێ مرۆڤان | بیرهاتن و ئەوا د بیرێ دا دمینیت. |
| یادگار | ناڤێ مرۆڤان | تشتێ کو وەک دیاری دمینیت بۆ بیرئانینێ. |
| یارا | ناڤێ مرۆڤان | یار و دۆستا دلێ مرۆڤی. |
| یاسا | ناڤێ مرۆڤان | قانوون و ئەو ڕێسایێن کو ژیانێ ب ڕێڤە دبەن. |
| یاسمین | ناڤێ مرۆڤان | ناڤێ گولەکا گەلەک جوان و ب بۆنە. |
| یەکبوون | ناڤێ مرۆڤان | پێکڤەبوون و هەڤگرتنا مرۆڤان. |
| ئاغا | ناڤێ مرۆڤان | نازناڤێ کەسەکێ دەستهەلاتدار و زەنگین. |
| ئاسایش | پیشە | پارێزەرێ ئەمنییەتا ناڤخۆیی یا باژێڕان |
| ئاسنگەر | پیشە | ئەو زەلامێ ب ھێزا ئاگری ئاسنی دچەمینیت |
| ئاشڤان | پیشە | ئەو کەسێ گەنم و جەهی ل ئاشی دکەتە ئارد |
| ئاگرکوژ | پیشە | ئەو قارەمانێ ب ئاڤێ شەڕێ ئاگری دکەت بۆ قورتالکرنا خەلکی |
| ئەکتەر | پیشە | ئەو ھونەرمەندێ د فلم و زنجیرەیان دا ڕۆڵا کەسایەتییان دگێڕیت |
| ئەندازیار | پیشە | پلانکدانەر و سەرپەرشتێ ئاڤاکرنا خانی و جاددەیان |
| باخچەڤان | پیشە | ئەو کەسێ خزمەتا گول و دار و شیناتییێ دکەت |
| بازرگان | پیشە | کەسێ کو کرین و فرۆتنێ ب کەلوپەلان دکەت بۆ قازانجی |
| بانگدەر | پیشە | ئەو کەسێ دەنگێ ئەزانێ دگەهینیتە گوهێ باوەڕداران |
| بەرگریکار | پیشە | یاریزانێ کو ل هێلا پاشڤە بەرگرییێ ل گۆلا خۆ دکەت |
| بەڕنامەداڕێژ | پیشە | ئەو کەسێ ب ڕێیا کۆدان ئەپڵیکەیشن و مالپەران دروست دکەت |
| بەلێندەر | پیشە | گرێبەستکەرێ کو سەرپەرشتییا پڕۆژەیێن مەزن یێن ئاڤاکرنێ دکەت |
| بەننا | پیشە | ئەو هۆستایێ ب ئاسن و کۆنکرێتی تاق و کۆلانان دروست دکەت |
| بۆریچێکر | پیشە | شارەزایێ ڕاکێشانا بۆریێن ئاڤێ |
| بۆیاغچی | پیشە | ئەو کەسێ دیوارێن خانییان ب ڕەنگێن جوان دخەملینیت |
| بیناساز | پیشە | ئەندازیارێ کو شێوە و نەخشەیێ دەرڤە یێ ئاڤاهییان دکێشیت |
| پارێزەر | پیشە | بەرگریکارێ مافێن مرۆڤان ل بەرامبەر دادگەھێ |
| پاسەوان | پیشە | کەسێ کو کەسەکێ یان تشتەکێ یان جهەکێ دپاریزیت |
| پاقژکەر | پیشە | کارمەندێ کو خزمەتا پاقژکرنا جاددە یان فەرمانگەهان دکەت |
| پەرستار | پیشە | ھاریکارێ نوژداری کو چاڤدێرییا نەخۆشان دکەت |
| پەرلەمانتار | پیشە | نوێنەرێ خەلکی د ناڤ جڤاتا یاسادانانێ دا |
| پەنچەرچی | پیشە | هۆستایێ چێکرنا تایرە |
| پەیامنێر | پیشە | گەھینەرێ دەنگوباسان ژ ناڤ ڕوودانان بۆ سەر شاشەیێ |
| پەیکەرساز | پیشە | هونەرمەندێ کو ژ کەڤر یان تەقنی شێوەیێ مرۆڤان دروست دکەت |
| پۆستەچی | پیشە | گەهینەرێ نامە و پاکێتان بۆ مال و فەرمانگەهان |
| پۆلیس | پیشە | ێرەڤانێ یاسا و پارێزەرێ ئارامییا باژێڕی |
| پێشکێشکار | پیشە | ئەو کەسێ ل تەلەڤزیۆنێ بەرنامەیان بڕێڤە دبەت |
| پێشمەرگە | پیشە | قارەمانێ پارێزەرێ ئاخا کوردستانێ ل بەرامبەر دوژمنان |
| تیمارکار | پیشە | ئەو کەسێ چاڤدێرییا گیانەوەران دکەت و برینێن وان چارەسەر دکەت |
| جامچی | پیشە | ئەو هۆستایێ شیشە و جامان بۆ پەنجەران دبڕیت |
| جوتیار | پیشە | ڕەنجبەرێ ئەردی کو شیناتی و خوارنێ بەرهەم دئینیت |
| جوگرافیناس | پیشە | شارەزایێ نەخشە و پێکهاتەیا ئەرد و چیا و ڕووباران |
| خەیات | پیشە | خودانێ دەرزی و مەقەسی کو قوماشی دکەتە جلوبەرگ |
| خوارنچێکەر | پیشە | شارەزایێ مەتبەخێ کو خوارنێن تامخوەش ل خوارنگەهان ئامادە دکەت |
| دادوەر | پیشە | ئەو کەسێ ل دادگەھێ ب دادپەروەری بڕیارێ ل سەر ئاریشان ددەت |
| داربڕ | پیشە | ئەو کەسێ ب بڤر یان مشارێ دارێن دارستانێ دبڕیت بۆ بەرهەمهێنانێ |
| دارتاش | پیشە | ئەو ھونەرمەندێ ژ داران مێز و کانتۆران دروست دکەت |
| دارەڤان | پیشە | پارێزەرێ دارستان و سروشتی ژ بڕین و سۆتنێ |
| دەرمانساز | پیشە | ئەو شارەزایێ ل دەرمانخانێ دەرمانان ددەتە نەخۆشان |
| دەرھێنەر | پیشە | سەرپەرشتێ سەرەکی یێ چێکرنا فلم و کارێن ھونەری |
| دوکاندار | پیشە | کەسێ کو تشتان دفرۆشیتە خەلکی |
| دیپلۆماتکار | پیشە | سیاسەتمەدارێ پەیوەندییێن دەرڤە یێن وەڵاتی ڕێکدئێخیت |
| زێڕنگەر | پیشە | ئەو شارەزایێ زێڕ و زیڤی دحەلینیت |
| ڕابەر | پیشە | کەسێ کو مللەتی بەرەڤ پێشڤە دبەت |
| ڕاھێنەر | پیشە | سەرپەرشتیارێ مەشقدان و ئامادەکرنا تیمێن وەرزشی |
| ڕاوێژکار | پیشە | کەسێ شارەزا کو شیرەتان ددەتە بەرپرسان |
| ڕەخنەگر | پیشە | کەسێ کو هەلسەنگاندن و خەلەتییێن کارێن هونەری و وێژەیی دکەت |
| ڕۆژنامەڤان | پیشە | لێکۆلەر و بەلاڤکەرێ نووچە و پێزانینان بۆ ڕایا گشتی |
| ڕێکخەر | پیشە | کەسێ کو بەرنامە و ئاهەنگان یان کۆمبوونان ب ڕێکوپێکی ئامادە دکەت |
| ژمێریار | پیشە | شارەزایێ ژماران کو چاڤدێرییا پارە و حساباتێن کۆمپانیان دکەت |
| سیاسەتمەدار | پیشە | کەسێ کو د بوارێ حوکمرانی و ڕێکخستنا کاروبارێن دەولەتێ دا کار دکەت |
| سینەماکار | پیشە | کەسێ پشکدار د پیشەسازییا دروستکرنا فلم و درامایان دا |
| شانۆکار | پیشە | ئەکتەر یان دەرهێنەرێ کو ڕاستەوخۆ ل سەر تەختێ شانۆیێ کار دکەت |
| شرۆڤەکار | پیشە | کەسێ کو ڕوودانێن سیاسی یان ئابووری شڕۆڤە دکەت و ڕووندکەتەڤە |
| شۆفێر | پیشە | ئەو کەسێ ترۆمبێلێ ل سەر جاددەیان دھاژۆت |
| شینوارناس | پیشە | لێکۆلەرێ بەرمایک و کەڤنەوارێن مرۆڤاتییێ ل بن ئاخێ |
| شێوەکار | پیشە | ئەو ھونەرمەندێ ب فرچە و ڕەنگان تابلۆیان دکێشیت |
| غەواس | پیشە | کەسێ کو ب ئامێرێن ئۆکسجینێ دچیتە د کویراخییا دەریایێ دا |
| فڕۆکەڤان | پیشە | شوفێرێ ئامیرێ کو ل ناڤ عەوران دگەڕیت |
| فەرمانبەر | پیشە | ئەو کەسێ ل فەرمانگەھێن میری کارێن کارگێری دکەت |
| فەیلەسوف | پیشە | هزرڤانێ کویر یێ کو ل ڕاستی و ڕامانا ژیانێ دگەڕیت |
| فیتەر | پیشە | هۆستایێ چاککرن و گۆهۆڕینا پارچەیێن تێکچوویی یێن ترۆمبێلان |
| قەساب | پیشە | ئەو کەسێ گیانەوەران سەردبڕیت و گۆشتی دفرۆشیت |
| کارەباچی | پیشە | شارەزایێ ڕاکێشانا تێلان و ڕێکخستنا ڕۆناھییێ |
| کرێکار | پیشە | کەسێ ب هێزا دەستێن خۆ کار دکەت و ڕۆژانە پارەی وەردگریت |
| کەبابچی | پیشە | هۆستایێ برژاندنا گۆشتی ل سەر ڕەژییێ |
| کۆمەڵناس | پیشە | لێکۆلەرێ پەیوەندی و دیاردەیێن ناڤ جڤاکی و مللەتان |
| کیمیاگەر | پیشە | شارەزایێ تێکەلکرنا ماددەیان د ناڤ تاقیگەھاندا |
| گاڤان | پیشە | ئەو کەسێ چاڤدێرییا چێل و گامێشان دکەت |
| گەردوونناس | پیشە | ئەو زانایێ ل ستێر و ھەسارەیان دکۆلیت |
| گۆڵپارێز | پیشە | تاکە یاریزانێ کو دشێت دەستێن خۆ بکاربینیت بۆ پاراستنا تۆڕا خۆ |
| لێکۆلەر | پیشە | کەسێ کو ل دویڤ بەلگە و ڕاستییان دگەڕیت بۆ ئاشکراکرنا تاوانان |
| مەلا | پیشە | ڕابەرێ ئایینی و گۆتاربێژێ مزگەفتێ |
| مەلەڤان | پیشە | وەرزشڤانێ ناڤ ئاڤێ و قورتالکەرێ خەندقیان |
| موختار | پیشە | نوێنەرێ گەڕەکێ یان گوندی کو کارێن فەرمی یێن خەلکی ڕێکدێخیت |
| مۆزیکژەن | پیشە | هونەرمەندێ کو ئامێرێن دەنگی دژەنیت بۆ دروستکرنا ئاوازان |
| میکانیک | پیشە | دکتۆرێ ترۆمبێلان کو عەتەل و تێکچوونان چاک دکەت |
| مێژوونڤیس | پیشە | لێکۆلەر و تۆمارکەرێ ڕوودانێن سەردەمێن کەڤن |
| نەخشەساز | پیشە | ئەو کەسێ دیزاین و ڕەنگێن ناڤ مالێ ڕێکدێخیت |
| نەخشەکێش | پیشە | کەسێ کو ب هویری هێڵ و دیزاینێن ئەندازیاری دکێشیت |
| نوژدار | پیشە | ئەو کەسێ برینان ساڕێژ دکەت و نەخۆشییان چارەسەر دکەت |
| نوینەر | پیشە | کەسێ کو ب ناڤێ کۆمپانییەکێ یان دەزگەهەکێ باخڤیت و کار بکەت |
| هۆستا | پیشە | سەرپەرشتێ ئاڤاکرنا دیواران و بکارھینەرێ چیمەنتۆ و بلۆکان |
| ھونەرمەند | پیشە | ئەو کەسێ ب شێوەیەکێ داھێنەرانە کارێن جوان و پڕ ڕامان ئەنجام ددەت |
| ھۆزانڤان | پیشە | نڤیسەرێ ڕێزێن پڕ ڕامان و تژی هەست |
| ھێرشبەر | پیشە | یاریزانێ کو ل پێشیێ یە و ئەرکێ وی تۆمارکرنا گۆلانە |
| وەبەرھێنەر | پیشە | سەرمایەدارێ کو پارەیێ خۆ د پڕۆژەیان دا ب کار دئینیت بۆ قازانجی |
| وەرزشڤان | پیشە | ئەو کەسێ ژیانا خوە تەرخان کری بۆ ڕاھێنان و پێشبڕکێیان |
| وەرگێڕ | پیشە | گەھینەرێ ڕامانان د ناڤبەرا دوو زمانێن جودا دا |
| وەزیر | پیشە | ئەندامێ کابینەیا حکومەتێ یێ کو بەرپرسە ژ وەزارەتەکێ |
| وێنەگر | پیشە | ئەو ھونەرمەندێ ب ڕێیا کامیرەیێ دیمەنێن جوان تۆمار دکەت |
| بێژەر | پیشە | کەسێ کو ل ڕادیۆ یان تەلەڤزیۆنێ نووچە و بەرنامەیان پێشکێش دکەت. |
| بەلگ | سرۆشت | نە خوینە، نە گۆشتە، حەفت پەراسی ل پشتە. |
| پایز | سرۆشت | وەرزەکێ سالێ یێ, کو بەلگێن داران لێ دوەریێن |
| چیا | ناڤێ مرۆڤان | جهەکێ گەلەک بلند و مەزنە کو ژ بەر و ئاخێ پێک دهێت. |
| ڕۆژ | سرۆشت | ژێدەرێ سەرەکی یێ ڕۆناهی و گەرماتیێ بۆ ئەردی |
| سپیندار | سرۆشت | دارەکا بلند و نازک ل دەڤەرێن چیا و ئاڤێ |
| سیبەر | سرۆشت | ناڤێ مرۆڤان |
| گول | ڕووەک | پشکا هەرە جوان و بێهنخوەش یا ڕووەکان |
| هەوا | سرۆشت | لڤینا هەوای یا کو ئەم هەست پێ دکەین لێ نابینین |
| هەیڤ | سرۆشت | ڕۆناهیدەرێ شەڤێ یێ کو ل دۆرا زەڤیێ دزڤڕیت |
| ئاڤ | سرۆشت | نە ڕەنگ هەیە نە تام هەیە، لێ ژیان بێی وێ نابیت. |
| ئاش | جھ | جهێ هوورکرن و کرنا گەنمی ب ئارد ب ڕێکا ئاڤێ یان کارەبێ |
| باخچە | جھ | پارچە ئەردەکێ چاندییە ب گول و داران، زێدەتر ل بەرامبەر خانوو یان پارکایە |
| بازاڕ | جھ | جهێ کڕین و فرۆشتنا کەلوپەل و پێدڤیێن ژیانێ یە |
| باژێڕ | جھ | ناڤەندەکا مەزن یا ئاکنجیبوونێ کو چەندین خزمەتگۆزاری و جادێن مەزن لێ هەنە |
| بانک | جھ | ناڤەندا دارایی و پاراستنا پارەی و ئەنجامدانا مامەلەیێن بانکی |
| بنگەھ | جھ | ناڤەندا پاراستنا ئەمن و ئاسایشێ و جێبەجێکرنا یاسایێ |
| بەنزینخانە | جھ | جهێ تێکرنا سۆتەمەنییێ بۆ ترومبێل و کەرەستێن گۆاستنەوەیێ |
| پارک | جھ | جهەکێ کەسک و ئارامە کو مرۆڤ بۆ بێهنڤەدانێ دچیتە وێرێ |
| پرادەلال | جھ | ئێک ژ کەڤنترین پرانە ل کوردستانێ کو ل زاخۆ یە |
| جادە | جھ | ڕێکەکا پان و بەرفرەهە بۆ هاتنوچوونا تڕۆمبێلان |
| خوارنگەھ | جھ | جهەکێ گشتی یە کو خوارنێن جۆراوجۆر لێ دهێنە پێشکێشکرن |
| دەرمانخانە | جھ | دوکانا فرۆشتنا دەرمان و پێدڤیێن پزیشکی |
| سالۆن | جھ | جهێ ڕازاندن و جوانکارییا ژنان |
| سەربازگەھ | جھ | جهێ مانەوە و ڕاهێنانا سەربازان |
| سەرتڕاشخانە | جھ | جهێ کورتکرنا پرچ و ڕوویێ زەلامان |
| سەیرانگەھ | جھ | جهەکێ سروشتی یێ جوان کو خەلک بۆ گەشت و کەیفخۆشییێ قەستا وێ دکەن |
| سینەما | جھ | جهێ نیشاندانا فیلم و کارێن هونەری یە ل سەر شاشەیەکا مەزن |
| شکەفت | جھ | کونەکا سروشتی و مەزن د ناڤ چیا یان ئەردی دا |
| فڕۆکەخانە | جھ | جهێ nیشتن و فڕینا فڕۆکەیان و گەشتکرنا خەلکی یە |
| فەرمانگەھ | جھ | جهێ ڕاپەڕاندنا کارێن فەرمی یێن دەولەتێ و خزمەتکرنا هەڤوەڵاتییان |
| قەسر | جھ | خانوویەکێ مەزن و ڕازاوە کو زێدەتر بۆ پاشا یان کەسێن دەولەمەند دهێتە ئاڤاکرن |
| قوتابخانە | جھ | جهەکێ پیرۆزە کو مرۆڤ لێ فێری زانست و ڕەوشت و ئەدەبی دبیت |
| کتێبخانە | جھ | جهێ کۆمکرن و خویندنا پەرتووکانە |
| کلینیک | جھ | کلینیکەکا بچووک بۆ پشکنین و چارەسەرکرنا نەخۆشییان |
| کلێسا | جھ | جهێ پەرستن و نڤێژکرنا کریستیانانە |
| کەلھە | جھ | ئاڤاهییەکێ سەربازی یێ کەڤنار و ب هێز بۆ پاراستنا دەڤەرەکێ |
| کۆلان | جھ | ڕێگایەکا تەنگ د ناڤبەرا خانوو و گەڕەکان دا |
| گەراج | جھ | جهێ ڕاگرتن و پاراستنا ترومبێلان |
| گۆڕستان | جھ | باژێڕە، بازار نینە، سیبەرە، ھەتاڤ نینە. |
| مزگەفت | جھ | جهێ پەرستن و نڤێژکرنا موسلمانانە |
| مەلبەند | جھ | ناڤەندەکا کارگێڕی یان تەندروستی کو خزمەتا گەڕەکەکێ دکەت |
| مەلەڤانگەھ | جھ | جهێ ئەنجامدانا وەرزشا مەلەڤانییێ و خۆشیبرنێ د ئاڤێ دا |
| مۆزەخانە | جھ | جهێ پاراستن و نیشاندانا کەلوپەلێن دیرۆکی و کەڤنار |
| مۆڵ | جھ | کۆمەلگەهەکێ مەزنێ بازرگانی کو چەندین دوکان و جهێن کەیفخۆشییێ تێدانە |
| نانپێژی | جھ | جهێ دروستکرن و فرۆشتنا نانی و صەمونی |
| نەخۆشخانە | جھ | جهێ چارەسەرکرنا نەخۆشان و دابینکرنا خزمەتگۆزاریێن تەندروستی |
| نیشتیمان | جھ | ئەو ئەردێ مرۆڤ لێ ژ دایکبووی و لێ دژیت |
| ھۆتێل | جھ | جهێ مانەوە و نیشتەجێبوونا گەشتیارانە بۆ دەمەکێ کاتی |
| ھۆڵ | جھ | ناڤەندەکا دارشتنا لەشی و ئەنجامدانا ڕاهێنانێن وەرزشی |
| وەڵات | جھ | ئەو ئەردێ ئەم لێ ژدایک بووین |
| وێستگەھ | جھ | جهێ ڕاوەستانا پاس و ترێن و تەکسییان بۆ گۆاستنەوەیا خەلکی |
| یاریگەھ | جھ | جهێ ئەنجامدانا یاریێن وەرزشی یە، ب تایبەت یارییا تەپاپێ |
| باسکێت | وەرزش | وەرزشەکە، کو پەتێ دھاڤێژنە د ناڤ تۆڕەکا بلنددا. |
| تەپاپێ | وەرزش | وەرزشەکا جیهانی یا بناڤودەنگ. |
| تەپاسەلێ | وەرزش | تەپێ دھاڤێژنە د ناڤ تورەکێ بلنددا. |
| مەلەڤانی | وەرزش | وەرزشەکا کو د ناڤ ئاڤێدا دھێتە کرن. |
| ئادار | دەم | هەیڤا سێیێ د سالێ دا، جەژنا نەورۆزێ تێدایە. |
| ئەینی | دەم | ڕۆژا بێهنڤەدانێ و نڤێژا گشتی ل دەف موسلمانان. |
| ئیلۆل | دەم | ناڤێ هەیڤا نەیێ د سالێ دا. |
| ئێڤاری | دەم | دەمێ پشتی نیڤرۆ و بەری هاتنا شەڤێ. |
| ئێکشەمب | دەم | ڕۆژا ئێکێ یا دەستپێکا حەفتییێ. |
| بلەز | دەم | ئەنجامدانا کارەکی ب کێمترین کات. |
| بەردەوام | دەم | دەمێ کارەک بێی ڕاوەستان پێک دهێت. |
| بۆری | دەم | ئەو دەمێ دەربازبووی و چووی. |
| بێدوماھی | دەم | دەمەکێ کو چ جاران خلاس نابیت. |
| پێشوەخت | دەم | ئەنجامدانا کاری بەری دەمێ وی. |
| پێنجشەمب | دەم | ڕۆژا پێنجێ د حەفتییێ دا. |
| تشرین | دەم | ناڤێ هەیڤێن دەهـ و یازدێ د سالێ دا. |
| تەباخ | دەم | هەیڤا هەشتێ د سالێ دا، گەرمترین دەمە. |
| تەمووز | دەم | هەیڤا حەفتێ د سالێ دا. |
| جارجار | دەم | بۆ تشتەکێ دهێتە گۆتن کو دەم بۆ دەمی ڕووی ددەت. |
| چارشەمب | دەم | ڕۆژا چارێ د حەفتییێ دا. |
| چرکە | دەم | بچویکترین یەکا دەمی یە کو زۆر ب لەز دەرباز دبیت. |
| حەفتی | دەم | ماوێ حەفت ڕۆژێن پێکڤە. |
| حوزەیران | دەم | هەیڤا شەشێ د سالێ دا. |
| خولەک | دەم | هەر دەمژمێرەک ژ شەست دانەیێن ڤی تشتێ پێک دهێت. |
| درەنگ | دەم | دەمێ کارەک ژ وەختێ خۆ دبووریت. |
| دوبارە | دەم | دەمێ کارەک بۆ جارا دووێ دهێتە کرن. |
| دوھی | دەم | ئەو ڕۆژا کو دەرباز بووی و چوویە مێژوویێ. |
| دووزبە | دەم | ڕۆژا پشتی سوبەهی، ئانکو دوو ڕۆژێن دی. |
| دووشەمب | دەم | ڕۆژا دووێ د حەفتییێ دا. |
| دیرۆک | دەم | ئەو دەمێ کۆن یێ کو ڕوودان تێدا هاتینە نڤیسین. |
| زوی | دەم | دەمێ مرۆڤ بەری وەختێ پێدڤی کارەکێ دکەت. |
| ڕۆژ | دەم | ماوێ ٢٤ دەمژمێران یان دەمێ ڕۆناهییا ڕۆژێ |
| ڕۆژئاڤا | دەم | ئەو جهێ ڕۆژ لێ بەرزە دبیت و شەڤ دھێت |
| ڕۆژانە | دەم | تشتەکێ هەر ڕۆژ دووبارە دبیت. |
| ڕۆژژمێر | دەم | خشتەیێ ڕێزکرنا ڕۆژ و هەیڤ و سالان. |
| سات | دەم | پەیڤەکا دی یا کوردی بۆ دەمی یە. |
| ساڵ | دەم | ماوێ سێ سەد و شەست و پێنج ڕۆژان. |
| ساڵانە | دەم | تشتەکێ هەر سال جارەکێ دهێتە کرن. |
| سپێدە | دەم | دەستپێکا ڕۆژێ و هاتنا ڕۆناهییێ. |
| سەدە | دەم | هەژمارەکا زۆر یا سالێن دەربازبووی. |
| سوبەھی | دەم | ئەز ھەردەم یێ د ڕێکێدا، لێ چ جاران ناگەھم. |
| سێشەمب | دەم | ڕۆژا سێیێ د حەفتییێ دا. |
| شەڤ | دەم | دەمێ تاری و بێدەنگییێ کو مرۆڤ لێ دنڤیت. |
| شەمبی | دەم | ڕۆژا حەفتێ د حەفتییێ دا. |
| شۆبات | دەم | هەیڤا دووێ د سالێ دا کو ڕۆژێن وێ کێمترن. |
| فەترە | دەم | ماوەیەکێ دەمی یێ کورت یان درێژ. |
| قڕن | دەم | ماوێ سەد سالێن پێکڤە. |
| قۆناغ | دەم | ماوەیەکێ دەمی د ناڤبەرا دوو ڕوودانان دا. |
| کانوین | دەم | ناڤێ هەیڤێن دوازدە و ئێکێ د سالێ دا. |
| گۆلان | دەم | هەیڤا پێنجێ د سالێ دا، گول تێدا گەش دبن. |
| نۆکە | دەم | دەمێ ڕاستەوخۆ یێ کو ئەم تێدا دژین. |
| نیسان | دەم | هەیڤا چارێ د سالێ دا، وەرزێ بوهارێ یە. |
| نیڤرۆ | دەم | دەمێ ناڤەڕاستا ڕۆژێ. |
| نیڤشەڤ | دەم | دەمژمێر دوازدەی شەڤێ کو نیڤا شەڤێ یە. |
| هاڤین | دەم | مەنجەلا عەندەلى، پڕچ-پڕچ دکەلى، نە ئاگرە، نە خوەلى. |
| ھەردەم | دەم | کاتەکێ بەردەوام کو چ جاران ناوەستیت. |
| ھەڤدەم | دەم | دوو ڕوودان کو د ئێک کات دا دبن. |
| ھەیڤ | دەم | ماوێ سیهـ ڕۆژان د ساڵێ دا. |
| ھەیڤانە | دەم | تشتەکێ هەر هەیڤ جارەکێ دهێتە کرن. |
| وەرز | دەم | پشکەک ژ چار پشکێن سالێ. |
| ئەڤرۆ | دەم | ڕۆژا نۆکە کو ئەم تێداینە |
| باجانڕەشک | زەرزەوات | زەرزەواتەکێ مۆر یێ درێژە کو گەلەک جاران بۆ دۆڵمێ دهێتە بکارئینان |
| بامی | زەرزەوات | زەرزەواتەکێ هاڤینی یە کو د ناڤ شلێیەکا سۆر دا دگەل گۆشتی دهێتە لێنان. |
| برۆکلی | زەرزەوات | زەرزەواتەکێ کەسکە کو وەکو دارەکا بچویکە و گەلەک ڤیتامین تێدا هەنە. |
| پیڤازتەڕک | زەرزەوات | پیڤازەکا کەسکە کو ب تەڕی دگەل خوارنێ دهێتە خوارن. |
| پینگ | زەرزەوات | جۆرەکێ نەعناعێ یە کو ل کەنارێ ڕووباران شین دبیت و بێهنەکا گەلەک توند هەیە. |
| ترۆزی | زەرزەوات | زەرزەواتەکێ هاڤینی یە، ژ خەیارێ ستوورترە و دگەل خۆێ دهێتە خوارن. |
| تەماتە | زەرزەوات | زەرزەواتەکێ سۆرە کو د زۆرترین خوارنان دا دهێتە بکارئینان |
| جەرجیر | زەرزەوات | زەرزەواتەکێ گەڵادارێ کەسکە کو تامەکا کەمەک تیژ هەیە و بۆ سەلاتەیێ خۆشە. |
| خەس | زەرزەوات | زەرزەواتەکێ بەلگدار و کەسکە کو زێدەتر بۆ سەلاتەیێ دهێتە بکارئینان. |
| خیار | زەرزەوات | زەرزەواتەکێ کەسک و فێنکە کو زێدەتر د ناڤ سەلاتێ دا دهێتە خوارن |
| دوومبەلان | زەرزەوات | وەکو کوارگێ ل ژێر ئەردی شین دبیت پشتی بارانێن بوهارێ و گەلەک یێ ب تامە. |
| زەنجەفیل | زەرزەوات | ڕەهێن بن ئەردی نە، تامەکا تیژ هەیە و زۆر یا ب مفایە بۆ زڤستانێ و نەخۆشییان. |
| ڕێواس | ڕووەک | گیایەکێ بوهارێ یێ ترشە کو ل سەر چیا شین دبیت. |
| سپیناخ | زەرزەوات | گەڵایێن کەسک و ب هێزن، دگەل گۆشتی و ئاڤێ دهێتە چێکرن و ئاسنێ تێدا زۆرە. |
| سیر | زەرزەوات | پێکهاتەیەکێ بچووکە کو بێهنەکا بهێز هەیە و وەکو دەرمان ژی دهێتە بکارئینان |
| سیرک | ڕووەک | گیایەکێ چیا یێ بوهارێ یە، بێهنا وێ وەکو سیرێ یە و دگەل ماستی دهێتە خوارن. |
| شێلم | زەرزەوات | د زڤستانێ دا دهێتە کەلاندن و دگەل دۆشاڤێ دهێتە خوارن. |
| فلفل | زەرزەوات | جۆرەکێ زەرزەواتی یە کو هەم یێ شرین و هەم یێ تیژ هەیە |
| قەڕنەبیت | زەرزەوات | زەرزەواتەکێ سپییە و شێوەیێ وێ وەکو دارەکا بچویکە. |
| قوڕاد | ڕووەک | گیایەکێ کەسکێ بێهنخۆشە کو دگەل نان و خوارنێ ب تەڕی دهێتە خوارن. |
| کاری | ڕووەک | گیایەکێ بوهارێ یە، دەمێ خاڤە دڤێت نەهێتە خوارن هەتا باش نەهێتە کەلاندن. |
| کەرەفس | زەرزەوات | زەرزەواتەکێ بەلگ کەسکە کو بێهنەکا خۆش هەیە و دگەل کەبابێ دهێتە خوارن |
| کەرەنگ | ڕووەک | گیایەکێ ستریدارێ بوهارێ یە کو دگەل هێک و ماستی دهێتە خوارن. |
| کولند | زەرزەوات | زەرزەواتەکێ مەزنە کو د ناڤ وێ دا یا زەرە و تۆڤێ وێ دهێتە خوارن. |
| کولندک | زەرزەوات | زەرزەواتەکێ کەسک یێ درێژە |
| گەنمشامی | زەرزەوات | دەنکێن زەرێن شرینن ل سەر قەدەکی, دهێتە کەلاندن یان برژاندن. |
| گێزەر | زەرزەوات | زەرزەواتەکێ پرتەقالی یێ درێژە کو دبێژن بۆ چاڤان یێ باشە |
| لۆبیک | زەرزەوات | دەنکێن کەسکێن بچویک د ناڤ قەپلکەکی دا کو دگەل برنجی و شلێیێ دهێنە چێکرن. |
| مەعدەنووس | زەرزەوات | گەڵایێن کەسک و بێهنخۆشن کو هویری دکەنە ناڤ زۆربەی سەلاتەیان. |
| نەعنع | ڕووەک | گیایەکێ بێهنخۆشە کو هەم بۆ چایێ و هەم بۆ خوارنێ دهێتە بکارئینان. |
| باجان | زەرزەوات | زەرزەواتەکێ سۆرە بۆ زەلاتە و خوارنێ دهێتە بکارئینان |
| ئاخڤتن | کار (چاوگ) | پەیڤین، دەربڕینا هزر و هەستان ب رێکا دەنگی |
| ئاخینکرن | کار (چاوگ) | کێشانا ئاخینکان، دەربڕینا خەم و کەسەران |
| ئارامبوون | کار (چاوگ) | ھێمنبوون، ژ دەستدانا دلەراوکێ و نەئارامیێ |
| ئارەزووکرن | کار (چاوگ) | حەزکرن، خواستن، ڤیان |
| ئاریشەکرن | کار (چاوگ) | دروستکرنا ئاریشە و گرفتان |
| ئازادبوون | کار (چاوگ) | رزگاربوون ژ کۆت و بەندان، سەربەستبوون |
| ئازران | کار (چاوگ) | ھەستپێکرنا ئازارێ و ئێشانێ، یان توڕەبوون |
| ئازراندن | کار (چاوگ) | ئێشاندن، هاندانا کەسەکێ بۆ توڕەبوونێ یان هەستکرن ب ئازارێ |
